category,subCategory,eventID,level,channel,provider,description,availableSettings/0,availableSettings/1,gpoSettings,documentation,volume/DomainController,volume/Server,volume/Workstation,microsoftBaseline/DomainController,microsoftBaseline/Server,microsoftBaseline/Workstation,securityMonitoringRecommandation,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5
Account Logon,Audit Credential Validation,4774,Information,Security,Microsoft-Windows-Security-Auditing,An account was mapped for logon.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Logon\Audit Credential Validation,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4774,High,Low,Low,Success and Failure,Success and Failure,Success and Failure,No,SRV-ETM,,,,,
Account Logon,Audit Credential Validation,4775,Information,Security,Microsoft-Windows-Security-Auditing,An account could not be mapped for logon,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Logon\Audit Credential Validation,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4775,High,Low,Low,Failure,Failure,Failure,No,SRV-ETM,,,,,
Account Logon,Audit Credential Validation,4776,Information,Security,Microsoft-Windows-Security-Auditing,The computer attempted to validate the credentials for an account.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Logon\Audit Credential Validation,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4776,High,Low,Low,Success and Failure,Success and Failure,Success and Failure,Yes,SRV-ETM,CORTEX,YAMATO,ANSSI,,
Account Logon,Audit Credential Validation,4777,Information,Security,Microsoft-Windows-Security-Auditing,The domain controller failed to validate the credentials for an account.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Logon\Audit Credential Validation,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4777,High,Low,Low,Failure,Failure,Failure,No,SRV-ETM,,,,,
Account Logon,Audit Kerberos Authentication Service,4768,Information,Security,Microsoft-Windows-Security-Auditing,A Kerberos authentication ticket (TGT) was requested.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Logon\Audit Kerberos Authentication Service,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4768,High,NA,NA,Success and Failure,NA,NA,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Logon,Audit Kerberos Authentication Service,4771,Information,Security,Microsoft-Windows-Security-Auditing,Kerberos pre-authentication failed.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Logon\Audit Kerberos Authentication Service,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4771,High,NA,NA,Failure,NA,NA,Yes,JSCU-NL,SRV-ETM,YAMATO,CORTEX,,
Account Logon,Audit Kerberos Authentication Service,4771,Information,Security,Microsoft-Windows-Security-Auditing,A Kerberos authentication ticket request failed.,Failure,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Logon\Audit Kerberos Authentication Service,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4772,High,NA,NA,Failure,NA,NA,Yes,SRV-ETM,JSCU-NL,YAMATO,CORTEX,,
Account Logon,Audit Kerberos Service Ticket Operations,4769,Information,Security,Microsoft-Windows-Security-Auditing,A Kerberos service ticket was requested.,Success,Failure,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Logon\Audit Kerberos Service Ticket Operations,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4769,High,NA,NA,Success and Failure,,,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Logon,Audit Kerberos Service Ticket Operations,4770,Information,Security,Microsoft-Windows-Security-Auditing,A Kerberos service ticket was renewed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Logon\Audit Kerberos Service Ticket Operations,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4770,High,NA,NA,Success,,,Yes,SRV-ETM,CORTEX,YAMATO,,,
Account Management,Audit Computer Account Management,4741,Information,Security,Microsoft-Windows-Security-Auditing,A computer account was created.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Computer Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4741,Low,,,Success,,,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Management,Audit Computer Account Management,4742,Information,Security,Microsoft-Windows-Security-Auditing,A computer account was changed.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Computer Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4742,Low,,,Success,,,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
Account Management,Audit Computer Account Management,4743,Information,Security,Microsoft-Windows-Security-Auditing,A computer account was deleted.,Success,,Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Account Management\Audit Computer Account Management,https://learn.microsoft.com/en-us/windows/security/threat-protection/auditing/event-4743,Low,,,Success,,,Yes,JSCU-NL,SRV-ETM,CORTEX,YAMATO,,
