EID;TTP
4661;T1003
4782;T1003
4663;T1003.001
4825;T1021.001
5140;T1021.002
5142;T1021.002
5144;T1021.002
5145;T1021.002
5038;T1036.001
6281;T1036.001
6410;T1036.001
4698;T1053.005
4699;T1053.005
4700;T1053.005
4701;T1053.005
4702;T1053.005
4798;T1069.001
4662;T1069.002
4799;T1069.002
1102;T1070.001
4616;T1070.006
4624;T1078
4672;T1078
4964;T1078
5378;T1078
4820;T1078.002
4821;T1078.002
4822;T1078.002
4823;T1078.002
4824;T1078.002
6416;T1091
6423;T1091
4722;T1098
4723;T1098
4724;T1098
4725;T1098
4728;T1098
4729;T1098
4732;T1098
4733;T1098
4738;T1098
4742;T1098
4743;T1098
4756;T1098
4757;T1098
4780;T1098
4781;T1098
4794;T1098
4625;T1110
4740;T1110
4767;T1110
4768;T1110
4771;T1110
4772;T1110
4773;T1110
4776;T1110
4777;T1110
4703;T1134
4704;T1134
4705;T1134
4717;T1134
4718;T1134
4648;T1134.002
4675;T1134.005
4765;T1134.005
4766;T1134.005
4830;T1134.005
4720;T1136
4741;T1136
5168;T1187
4661;T1201
4928;T1207
4929;T1207
4930;T1207
4931;T1207
5137;T1207
4670;T1222.001
5136;T1222.001
5143;T1222.001
4713;T1484
4739;T1484
4706;T1484.002
4707;T1484.002
4716;T1484.002
4865;T1484.002
4866;T1484.002
4867;T1484.002
5148;T1498
5149;T1498
4697;T1543.003
4610;T1547.008
4611;T1547.008
4622;T1547.008
5376;T1555.004
5379;T1555.004
5381;T1555.004
5382;T1555.004
4649;T1558
4768;T1558
4769;T1558
1100;T1562.002
1104;T1562.002
4621;T1562.002
4719;T1562.002
4906;T1562.002
4908;T1562.002
4898;T1649
4899;T1649
